node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3,angular_flux_4,direction_cosine_4,angular_flux_5,direction_cosine_5,angular_flux_6,direction_cosine_6,angular_flux_7,direction_cosine_7,angular_flux_8,direction_cosine_8,angular_flux_9,direction_cosine_9,angular_flux_10,direction_cosine_10,angular_flux_11,direction_cosine_11
0,1,0,0,-0.00082819155803228958,-0.00021377279641886574,-0.98156063424671924,-0.00021726095906482576,-0.9041172563704748,-0.00022475552872298495,-0.76990267419430469,-0.00024144161132557367,-0.58731795428661759,-0.00029124228445207706,-0.36783149899818013,-0.00046036300068634479,-0.12523340851146897,0.00022107926827988014,0.12523340851146886,0.00014548000294154842,0.36783149899818024,0.00014204854274751325,0.58731795428661748,0.00015511289206583299,0.76990267419430469,0.00016912138725406955,0.9041172563704748,0.00017837683907662318,0.98156063424671924
1,0.875,0,0,0.21849618199298862,0.03419880862838981,-0.98156063424671924,0.030360072428181919,-0.9041172563704748,0.024452598243853655,-0.76990267419430469,0.017936450214599182,-0.58731795428661759,0.012433385567269138,-0.36783149899818013,0.0093396107134804743,-0.12523340851146897,0.0088355594419021605,0.12523340851146886,0.011974856017130261,0.36783149899818024,0.017440848529632937,0.58731795428661748,0.023888131006875455,0.76990267419430469,0.029732676628148359,0.9041172563704748,0.033531906056253537,0.98156063424671924
2,0.75,0,0,0.76562447825858804,0.11834442835127748,-0.98156063424671924,0.10499264274296488,-0.9041172563704748,0.08444812146710369,-0.76990267419430469,0.061780498256794388,-0.58731795428661759,0.042572847795834312,-0.36783149899818013,0.031503156811771939,-0.12523340851146897,0.032287332672380042,0.12523340851146886,0.043064060510597163,0.36783149899818024,0.062186689993778438,0.58731795428661748,0.084832122981028296,0.76990267419430469,0.10537155264009795,0.9041172563704748,0.11872289721474864,0.98156063424671924
3,0.625,0,0,1.484542900314243,0.23001773617741156,-0.98156063424671924,0.20412215587015842,-0.9041172563704748,0.1642796653393124,-0.76990267419430469,0.12033524437932011,-0.58731795428661759,0.083167635490174127,-0.36783149899818013,0.062007912905761131,-0.12523340851146897,0.061687134594540914,0.12523340851146886,0.082912447645608359,0.36783149899818024,0.12004670251408144,0.58731795428661748,0.16393565483593101,0.76990267419430469,0.20372906553144113,0.9041172563704748,0.22959422997756992,0.98156063424671924
4,0.5,0,0,2.2502589807618145,0.34818652819214274,-0.98156063424671924,0.30895953667592896,-0.9041172563704748,0.24860580083232436,-0.76990267419430469,0.18203390875265607,-0.58731795428661759,0.12569666555745085,-0.36783149899818013,0.093485704155419264,-0.12523340851146897,0.094009709306177303,0.12523340851146886,0.12605531326887315,0.36783149899818024,0.18234017245213077,0.58731795428661748,0.24889630693549566,0.76990267419430469,0.30924522146701355,0.9041172563704748,0.34847099661173359,0.98156063424671924
5,0.375,0,0,2.9534692458658274,0.45729476221874776,-0.98156063424671924,0.40580249942345137,-0.9041172563704748,0.32657898666423724,-0.76990267419430469,0.23919980690387024,-0.58731795428661759,0.16528476654048913,-0.36783149899818013,0.12314076897265128,-0.12523340851146897,0.12294792669644974,0.12523340851146886,0.16514448328776529,0.36783149899818024,0.2390445788982844,0.58731795428661748,0.32639113367621375,0.76990267419430469,0.40558489462923675,0.9041172563704748,0.45705858697667012,0.98156063424671924
6,0.25,0,0,3.5160012303877717,0.54417662117040999,-0.98156063424671924,0.48288800843445778,-0.9041172563704748,0.38859229826191932,-0.76990267419430469,0.28458670627332255,-0.58731795428661759,0.19659043224430725,-0.36783149899818013,0.14634863275733223,-0.12523340851146897,0.14661034427481204,0.12523340851146886,0.19677432593640221,0.36783149899818024,0.28474760408179833,0.58731795428661748,0.38874605643335519,0.76990267419430469,0.48303939766422199,0.9041172563704748,0.54432732477582757,0.98156063424671924
7,0.125,0,0,3.8754163124303025,0.59992310556139805,-0.98156063424671924,0.53236723432227429,-0.9041172563704748,0.42842954743336809,-0.76990267419430469,0.3137916343562267,-0.58731795428661759,0.21681111827564661,-0.36783149899818013,0.16148553987311964,-0.12523340851146897,0.161421163102865,0.12523340851146886,0.21676554202171455,0.36783149899818024,0.31374222809645913,0.58731795428661748,0.42836959342723308,0.76990267419430469,0.53229741804310071,0.9041172563704748,0.59984709140377679,0.98156063424671924
8,0,0,0,4.0004105219209789,0.61923407025988619,-0.98156063424671924,0.5495023421589289,-0.9041172563704748,0.44221716238148384,-0.76990267419430469,0.3238869278590053,-0.58731795428661759,0.22378008366061614,-0.36783149899818013,0.1666603407824693,-0.12523340851146897,0.16666034078246933,0.12523340851146886,0.22378008366061619,0.36783149899818024,0.32388692785900519,0.58731795428661748,0.4422171623814834,0.76990267419430469,0.54950234215892912,0.9041172563704748,0.61923407025988608,0.98156063424671924
9,-0.125,0,0,3.8754163124303025,0.5998470914037769,-0.98156063424671924,0.53229741804310071,-0.9041172563704748,0.42836959342723369,-0.76990267419430469,0.31374222809645924,-0.58731795428661759,0.21676554202171447,-0.36783149899818013,0.16142116310286503,-0.12523340851146897,0.16148553987311964,0.12523340851146886,0.21681111827564667,0.36783149899818024,0.31379163435622665,0.58731795428661748,0.42842954743336781,0.76990267419430469,0.53236723432227451,0.9041172563704748,0.59992310556139794,0.98156063424671924
