value,n_nodes,max_abs_error,rms_abs_error,converged,n_scatter_iterations,wall_time_s
2,9,0.04159709352010078,0.014352285127382573,True,25,0.029
3,17,0.0005009612078428136,0.00019119488947133992,True,25,0.058
4,25,1.183602975873832e-05,3.779191897149791e-06,True,25,0.138
5,33,2.6085441551249033e-07,7.596861331632665e-08,True,25,0.14
6,41,4.984011092723506e-09,1.533066999823171e-09,True,25,0.157
7,49,1.3056657387211512e-09,9.39183678666525e-10,True,25,0.176
8,57,1.3056986932630243e-09,9.39485912209499e-10,True,25,0.141
9,65,1.3055348841925496e-09,9.401824452180804e-10,True,25,0.156
10,73,1.3057858284232227e-09,9.406721072284202e-10,True,25,0.175
