node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3,angular_flux_4,direction_cosine_4,angular_flux_5,direction_cosine_5,angular_flux_6,direction_cosine_6,angular_flux_7,direction_cosine_7,angular_flux_8,direction_cosine_8,angular_flux_9,direction_cosine_9,angular_flux_10,direction_cosine_10,angular_flux_11,direction_cosine_11
0,1,0,0,-4.4801216115528728e-09,1.5359303354953274e-14,-0.98156063424671924,-1.2123106626661093e-14,-0.9041172563704748,-1.1070201999496262e-14,-0.76990267419430469,-3.321001849940042e-15,-0.58731795428661759,-1.9548011473922928e-16,-0.36783149899818013,-8.4524462594190841e-19,-0.12523340851146897,-5.1306096886533543e-10,0.12523340851146886,-6.7927942738396966e-10,0.36783149899818024,-7.8239028744745285e-10,0.58731795428661748,-8.3768282564588963e-10,0.76990267419430469,-8.6344086446225836e-10,0.9041172563704748,-8.7353404279860574e-10,0.98156063424671924
1,0.99311240902786024,0,0,0.00061885440669181971,0.0001854570214042472,-0.98156063424671924,0.00014265020776371476,-0.9041172563704748,8.7044831877543361e-05,-0.76990267419430469,4.0130417612528153e-05,-0.58731795428661759,1.2248524639749303e-05,-0.36783149899818013,1.1887879965124389e-06,-0.12523340851146897,1.1883041018023768e-06,0.12523340851146886,1.2247849626645556e-05,0.36783149899818024,4.0129635561526532e-05,0.58731795428661748,8.7043993502784015e-05,0.76990267419430469,0.00014264934335778465,0.9041172563704748,0.00018545614681953558,0.98156063424671924
2,0.9774099152055008,0,0,0.0065934068529816588,0.0019758853540052033,-0.98156063424671924,0.0015198155161607024,-0.9041172563704748,0.00092738799153601649,-0.76990267419430469,0.00042755520856670566,-0.58731795428661759,0.00013049762158695227,-0.36783149899818013,1.2665834995390942e-05,-0.12523340851146897,1.2665408497453008e-05,0.12523340851146886,0.00013049695695489119,0.36783149899818024,0.00042755442829443683,0.58731795428661748,0.00092738715255406769,0.76990267419430469,0.0015198146504788721,0.9041172563704748,0.0019758844779840037,0.98156063424671924
3,0.95410951912898256,0,0,0.026812239895765165,0.0080349785905083054,-0.98156063424671924,0.0061803611897359783,-0.9041172563704748,0.0037712424464628426,-0.76990267419430469,0.0017386621379857131,-0.58731795428661759,0.00053067136942370108,-0.36783149899818013,5.1506164707548908e-05,-0.12523340851146897,5.1505804420259688e-05,0.12523340851146886,0.00053067072139404933,0.36783149899818024,0.0017386613625713042,0.58731795428661748,0.0037712416088343192,0.76990267419430469,0.0061803603243461404,0.9041172563704748,0.0080349777144887013,0.98156063424671924
4,0.92494136762066859,0,0,0.070369916688873144,0.0210881563617543,-0.98156063424671924,0.016220631053026364,-0.9041172563704748,0.0098977924748508191,-0.76990267419430469,0.0045631956632627728,-0.58731795428661759,0.0013927705545198213,-0.36783149899818013,0.0001351804782553368,-0.12523340851146897,0.00013518017738669883,0.12523340851146886,0.0013927699284015909,0.36783149899818024,0.0045631948969218636,0.58731795428661748,0.0098977916421201361,0.76990267419430469,0.016220630191172234,0.9041172563704748,0.021088155488858285,0.98156063424671924
5,0.89206911660686594,0,0,0.14226701538509015,0.042633970449650213,-0.98156063424671924,0.032793284219248514,-0.9041172563704748,0.020010388071152258,-0.76990267419430469,0.0092254224046577106,-0.58731795428661759,0.0028157672780899558,-0.36783149899818013,0.00027329491124689786,-0.12523340851146897,0.00027329465611712264,0.12523340851146886,0.0028157666771970518,0.36783149899818024,0.0092254216516246042,0.58731795428661748,0.020010387247472661,0.76990267419430469,0.03279328336496444,0.9041172563704748,0.04263396958384244,0.98156063424671924
6,0.85793088339313406,0,0,0.24053947263121919,0.072083838768041253,-0.98156063424671924,0.055445593921008465,-0.9041172563704748,0.033832776383626473,-0.76990267419430469,0.015597981052894635,-0.58731795428661759,0.004760788546358829,-0.36783149899818013,0.00046207649605833808,-0.12523340851146897,0.00046207627309075071,0.12523340851146886,0.0047607879715473129,0.36783149899818024,0.015597980316346143,0.58731795428661748,0.033832775572639681,0.76990267419430469,0.05544559307802218,0.9041172563704748,0.072083837913052437,0.98156063424671924
7,0.82505863237933141,0,0,0.35585405515763846,0.10664081802397726,-0.98156063424671924,0.082026201618806277,-0.9041172563704748,0.050052203281267318,-0.76990267419430469,0.023075650389510781,-0.58731795428661759,0.0070431097905016612,-0.36783149899818013,0.00068359606559664624,-0.12523340851146897,0.00068359586428139434,0.12523340851146886,0.0070431092403343788,0.36783149899818024,0.023075649670863015,0.58731795428661748,0.050052202485198677,0.76990267419430469,0.082026200789584239,0.9041172563704748,0.1066408171823393,0.98156063424671924
8,0.79589048087101744,0,0,0.47350673031311286,0.14189846682106222,-0.98156063424671924,0.10914575174283793,-0.9041172563704748,0.066600491634981024,-0.76990267419430469,0.030704935274150767,-0.58731795428661759,0.0093717068771360258,-0.36783149899818013,0.0009096071314798203,-0.12523340851146897,0.00090960694448970778,0.12523340851146886,0.0093717063483348753,0.36783149899818024,0.030704934572759503,0.58731795428661748,0.066600490854090241,0.76990267419430469,0.10914575092794997,0.9041172563704748,0.14189846599344422,0.98156063424671924
9,0.77259008479449909,0,0,0.57683251067138064,0.17286269325462755,-0.98156063424671924,0.13296287850799984,-0.9041172563704748,0.081133648700693201,-0.76990267419430469,0.037405180834151487,-0.58731795428661759,0.011416744198579701,-0.36783149899818013,0.001108096206056997,-0.12523340851146897,0.0011080960283046935,0.12523340851146886,0.011416743686494672,0.36783149899818024,0.037405180147346666,0.58731795428661748,0.081133647933111855,0.76990267419430469,0.13296287770587764,0.9041172563704748,0.17286269243956565,0.98156063424671924
10,0.75688759097213976,0,0,0.65073260436348157,0.19500875618345642,-0.98156063424671924,0.14999723230547454,-0.9041172563704748,0.091527972991215609,-0.76990267419430469,0.042197293440994918,-0.58731795428661759,0.012879384493554595,-0.36783149899818013,0.0012500584680643714,-0.12523340851146897,0.0012500582957410983,0.12523340851146886,0.012879383992564676,0.36783149899818024,0.042197292764382936,0.58731795428661748,0.091527972233156021,0.76990267419430469,0.14999723151257513,0.9041172563704748,0.19500875537749812,0.98156063424671924
11,0.75,0,0,0.68416045977043805,0.20502627243197938,-0.98156063424671924,0.15770252586032457,-0.9041172563704748,0.096229725750216044,-0.76990267419430469,0.044364950331753486,-0.58731795428661759,0.013540992969040318,-0.36783149899818013,0.0013142734612559214,-0.12523340851146897,0.0013142732911521791,0.12523340851146886,0.013540992472875794,0.36783149899818024,0.044364949659699074,0.58731795428661748,0.096229724996467161,0.76990267419430469,0.15770252507162205,0.9041172563704748,0.20502627163017145,0.98156063424671924
12,0.74311240902786024,0,0,0.71817808757796009,0.21522052914172593,-0.98156063424671924,0.1655437650032181,-0.9041172563704748,0.10101443220068841,-0.76990267419430469,0.046570851500930911,-0.58731795428661759,0.014214274297080307,-0.36783149899818013,0.0013796214090354359,-0.12523340851146897,0.0013796212410657727,0.12523340851146886,0.01421427380571696,0.36783149899818024,0.046570850833485021,0.58731795428661748,0.10101443145132979,0.76990267419430469,0.16554376421880271,0.9041172563704748,0.21522052834416244,0.98156063424671924
13,0.7274099152055008,0,0,0.79783242424771572,0.23909099890425256,-0.98156063424671924,0.18390450156223045,-0.9041172563704748,0.1122181122633083,-0.76990267419430469,0.051736102746197159,-0.58731795428661759,0.015790803322309428,-0.36783149899818013,0.0015326375894359134,-0.12523340851146897,0.0015326374260544223,0.12523340851146886,0.015790802841805281,0.36783149899818024,0.051736102089441884,0.58731795428661748,0.11221811152424858,0.76990267419430469,0.18390450078791831,0.9041172563704748,0.23909099811670881,0.98156063424671924
14,0.70410951912898256,0,0,0.92099002208370717,0.27599833926534839,-0.98156063424671924,0.21229296480628171,-0.9041172563704748,0.1295406885469664,-0.76990267419430469,0.059722358889991195,-0.58731795428661759,0.018228354571287728,-0.36783149899818013,0.0017692236462682517,-0.12523340851146897,0.0017692234891264315,0.12523340851146886,0.018228354106692015,0.36783149899818024,0.059722358249547816,0.58731795428661748,0.12954068782390291,0.76990267419430469,0.21229296404777678,0.9041172563704748,0.2759983384935234,0.98156063424671924
15,0.67494136762066859,0,0,1.0824663458166606,0.32438887094126773,-0.98156063424671924,0.24951409253912366,-0.9041172563704748,0.15225293679373214,-0.76990267419430469,0.070193424461264156,-0.58731795428661759,0.021424315047125969,-0.36783149899818013,0.0020794200762199225,-0.12523340851146897,0.0020794199262073316,0.12523340851146886,0.021424314602143616,0.36783149899818024,0.070193423841945796,0.58731795428661748,0.15225293609183049,0.76990267419430469,0.24951409180171341,0.9041172563704748,0.32438887019048718,0.98156063424671924
16,0.64206911660686594,0,0,1.2724284756536008,0.38131590672589183,-0.98156063424671924,0.29330134589290796,-0.9041172563704748,0.17897182009553431,-0.76990267419430469,0.082511675655440861,-0.58731795428661759,0.025184070318981167,-0.36783149899818013,0.0024443378164597722,-0.12523340851146897,0.002444337673901164,0.12523340851146886,0.025184069895775912,0.36783149899818024,0.082511675060800205,0.58731795428661748,0.17897181941890047,0.76990267419430469,0.29330134518091178,0.9041172563704748,0.38131590600054988,0.98156063424671924
17,0.60793088339313406,0,0,1.4764498584323902,0.44245615908289515,-0.98156063424671924,0.34032932975328617,-0.9041172563704748,0.20766818984897631,-0.76990267419430469,0.095741610718181019,-0.58731795428661759,0.029222088163633766,-0.36783149899818013,0.0028362634214083708,-0.12523340851146897,0.0028362632862163678,0.12523340851146886,0.029222087762767451,0.36783149899818024,0.095741610150070558,0.58731795428661748,0.20766818920006519,0.76990267419430469,0.34032932906940622,0.9041172563704748,0.44245615838578511,0.98156063424671924
18,0.57505863237933141,0,0,1.6772116945225974,0.50261960447018572,-0.98156063424671924,0.38660597123916163,-0.9041172563704748,0.23590609217973904,-0.76990267419430469,0.10876017778412699,-0.58731795428661759,0.033195592637182504,-0.36783149899818013,0.0032219274315057065,-0.12523340851146897,0.0032219273032246614,0.12523340851146886,0.033195592257641938,0.36783149899818024,0.1087601772423686,0.58731795428661748,0.23590609155885017,0.76990267419430469,0.38660597058390733,0.9041172563704748,0.50261960380189707,0.98156063424671924
19,0.54589048087101744,0,0,1.8571843103484604,0.55655302554874275,-0.98156063424671924,0.42809058993589061,-0.9041172563704748,0.26121991300590131,-0.76990267419430469,0.12043065069273827,-0.58731795428661759,0.036757634150453217,-0.36783149899818013,0.0035676552971703481,-0.12523340851146897,0.0035676551749613344,0.12523340851146886,0.036757633789740229,0.36783149899818024,0.1204306501749806,0.58731795428661748,0.26121991241089559,0.76990267419430469,0.42809058930723137,0.9041172563704748,0.55655302490729031,0.98156063424671924
20,0.52259008479449909,0,0,2.0011869094152872,0.59970710638294977,-0.98156063424671924,0.46128393374424537,-0.9041172563704748,0.28147441658322325,-0.76990267419430469,0.12976861815773927,-0.58731795428661759,0.039607752395970169,-0.36783149899818013,0.0038442846676100015,-0.12523340851146897,0.003844284550245955,0.12523340851146886,0.039607752050262228,0.36783149899818024,0.12976861765954756,0.58731795428661748,0.28147441600954098,0.76990267419430469,0.46128393313759269,0.9041172563704748,0.59970710576374087,0.98156063424671924
21,0.50688759097213976,0,0,2.0979564650988753,0.62870659149715702,-0.98156063424671924,0.48358981678138518,-0.9041172563704748,0.2950854161373212,-0.76990267419430469,0.13604371991579911,-0.58731795428661759,0.041523028079231424,-0.36783149899818013,0.0040301792382947104,-0.12523340851146897,0.0040301791242026378,0.12523340851146886,0.041523027743628219,0.36783149899818024,0.13604371943098142,0.58731795428661748,0.2950854155783173,0.76990267419430469,0.4835898161899268,0.9041172563704748,0.62870659089332415,0.98156063424671924
22,0.5,0,0,2.1402661928964268,0.64138578913064137,-0.98156063424671924,0.49334242784684823,-0.9041172563704748,0.30103643742810721,-0.76990267419430469,0.13878732915744907,-0.58731795428661759,0.042360427737128052,-0.36783149899818013,0.0041114563366457281,-0.12523340851146897,0.0041114562239918107,0.12523340851146886,0.042360427405956767,0.36783149899818024,0.13878732867854401,0.58731795428661748,0.30103643687561732,0.76990267419430469,0.493342427262144,0.9041172563704748,0.64138578853364792,0.98156063424671924
23,0.49311240902786024,0,0,2.1824671797324671,0.65403239973928484,-0.98156063424671924,0.50306997355816319,-0.9041172563704748,0.3069721638962985,-0.76990267419430469,0.14152388700163129,-0.58731795428661759,0.043195675179760896,-0.36783149899818013,0.0041925245433825789,-0.12523340851146897,0.004192524432169031,0.12523340851146886,0.043195674853021872,0.36783149899818024,0.14152388652866649,0.58731795428661748,0.30697216335036798,0.76990267419430469,0.50306997298026646,0.9041172563704748,0.65403239914918754,0.98156063424671924
24,0.47740991520550086,0,0,2.2781768754740552,0.68271427057292855,-0.98156063424671924,0.52513155339598794,-0.9041172563704748,0.32043409018892366,-0.76990267419430469,0.14773026126632155,-0.58731795428661759,0.045089973977101065,-0.36783149899818013,0.00437638312090628,-0.12523340851146897,0.0043763830129860057,0.12523340851146886,0.04508997366047001,0.36783149899818024,0.14773026080700066,0.58731795428661748,0.32043408965811243,0.76990267419430469,0.52513155283380641,0.9041172563704748,0.68271426999876017,0.98156063424671924
25,0.45410951912898256,0,0,2.4185419218756334,0.72477826522966837,-0.98156063424671924,0.55748642249781721,-0.9041172563704748,0.34017695839055673,-0.76990267419430469,0.15683234862417167,-0.58731795428661759,0.047868097306823142,-0.36783149899818013,0.0046460247450973808,-0.12523340851146897,0.0046460246420920587,0.12523340851146886,0.047868097005206063,0.36783149899818024,0.15683234818534775,0.58731795428661748,0.34017695788258934,0.76990267419430469,0.55748642195943832,0.9041172563704748,0.72477826467964979,0.98156063424671924
26,0.42494136762066859,0,0,2.5905601062587587,0.77632793641810194,-0.98156063424671924,0.59713750359829032,-0.9041172563704748,0.36437195870897127,-0.76990267419430469,0.16798700985561085,-0.58731795428661759,0.051272703677736786,-0.36783149899818013,0.0049764721314698151,-0.12523340851146897,0.004976472034671474,0.12523340851146886,0.051272703394954967,0.36783149899818024,0.16798700944284817,0.58731795428661748,0.36437195823025315,0.76990267419430469,0.59713750309048097,0.9041172563704748,0.77632793589913585,0.98156063424671924
27,0.39206911660686594,0,0,2.7780381594325281,0.83251055472795488,-0.98156063424671924,0.64035216440369647,-0.9041172563704748,0.39074144733141974,-0.76990267419430469,0.18014417904606683,-0.58731795428661759,0.054983293791167606,-0.36783149899818013,0.0053366179673122851,-0.12523340851146897,0.0053366178775883051,0.12523340851146886,0.054983293529686367,0.36783149899818024,0.18014417866317772,0.58731795428661748,0.39074144688647633,0.76990267419430469,0.6403521639312999,0.9041172563704748,0.83251055424500708,0.98156063424671924
28,0.35793088339313406,0,0,2.9638143525793907,0.88818316692578059,-0.98156063424671924,0.68317453766875991,-0.9041172563704748,0.41687156298079875,-0.76990267419430469,0.19219098971672341,-0.58731795428661759,0.058660200468803186,-0.36783149899818013,0.0056934945261242565,-0.12523340851146897,0.0056934944438390492,0.12523340851146886,0.058660200229543297,0.36783149899818024,0.1921909893653802,0.58731795428661748,0.41687156257176827,0.76990267419430469,0.68317453723413302,0.9041172563704748,0.88818316648129492,0.98156063424671924
29,0.32505863237933141,0,0,3.132452497073801,0.93871992225786149,-0.98156063424671924,0.72204650208701571,-0.9041172563704748,0.44059114805541066,-0.76990267419430469,0.20312646946780152,-0.58731795428661759,0.061997908649096926,-0.36783149899818013,0.0060174488484796241,-0.12523340851146897,0.0060174487734453285,0.12523340851146886,0.061997908431342764,0.36783149899818024,0.20312646914729504,0.58731795428661748,0.44059114768169694,0.76990267419430469,0.72204650168963036,0.9041172563704748,0.93871992185134123,0.98156063424671924
