node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3,angular_flux_4,direction_cosine_4,angular_flux_5,direction_cosine_5,angular_flux_6,direction_cosine_6,angular_flux_7,direction_cosine_7
0,1,0,0,-4.4701787979899201e-09,7.6800186327344743e-15,-0.96028985649753629,5.1733854518790985e-15,-0.79666647741362695,-1.3476844897029142e-15,-0.52553240991632888,-4.9511197929404714e-18,-0.18343464249564972,-5.5356919843744676e-10,0.18343464249564986,-7.53066278749356e-10,0.52553240991632899,-8.3946273207780044e-10,0.79666647741362684,-8.6694424637124149e-10,0.96028985649753629
1,0.99311240902786024,0,0,0.00061885443028324161,0.00017281677829254961,-0.96028985649753629,9.6478041613217599e-05,-0.79666647741362695,2.9793136730153906e-05,-0.52553240991632888,2.6249924525305518e-06,-0.18343464249564972,2.6244560729844051e-06,0.18343464249564986,2.9792384716520263e-05,0.52553240991632899,9.6477201389934695e-05,0.79666647741362684,0.0001728159103347467,0.96028985649753629
2,0.9774099152055008,0,0,0.0065934069001169267,0.0018412144185676637,-0.96028985649753629,0.0010278907390528869,-0.79666647741362695,0.00031742036511688888,-0.52553240991632888,2.7967258758915474e-05,-0.18343464249564972,2.7966758215773861e-05,0.18343464249564986,0.0003174196162964615,0.52553240991632899,0.0010278898979667608,0.79666647741362684,0.0018412135491408816,0.96028985649753629
3,0.95410951912898256,0,0,0.026812239963196129,0.0074873364540853022,-0.96028985649753629,0.0041799389407469996,-0.79666647741362695,0.0012907965321307573,-0.52553240991632888,0.00011372963131045805,-0.18343464249564972,0.00011372917642748697,0.18343464249564986,0.0012907957898479665,0.52553240991632899,0.0041799381004067474,0.79666647741362684,0.0074873355844440916,0.96028985649753629
4,0.92494136762066859,0,0,0.07036991676586471,0.019650845378538284,-0.96028985649753629,0.010970434479886321,-0.79666647741362695,0.0033877525992368949,-0.52553240991632888,0.00029848863436772943,-0.18343464249564972,0.00029848822627358924,0.18343464249564986,0.0033877518676586863,0.52553240991632899,0.010970433643512351,0.79666647741362684,0.019650844511619567,0.96028985649753629
5,0.89206911660686594,0,0,0.14226701546139003,0.039728155788937139,-0.96028985649753629,0.022178950684263312,-0.79666647741362695,0.0068490266771946088,-0.52553240991632888,0.00060345528694550482,-0.18343464249564972,0.00060345492083397224,0.18343464249564986,0.006849025960362954,0.52553240991632899,0.02217894985587739,0.79666647741362684,0.039728154928629286,0.96028985649753629
6,0.85793088339313406,0,0,0.24053947270115791,0.067170801742155797,-0.96028985649753629,0.037499296671476202,-0.79666647741362695,0.011580064721600612,-0.52553240991632888,0.0010202986055115623,-0.18343464249564972,0.0010202982739420695,0.18343464249564986,0.011580064022441782,0.52553240991632899,0.037499295854802099,0.79666647741362684,0.067170800892232763,0.96028985649753629
7,0.82505863237933141,0,0,0.35585405521992519,0.099372471939578128,-0.96028985649753629,0.055476452728025545,-0.79666647741362695,0.017131545703083322,-0.52553240991632888,0.0015094297119357509,-0.18343464249564972,0.0015094294071710775,0.18343464249564986,0.017131545022729764,0.52553240991632899,0.055476451925497841,0.79666647741362684,0.09937247110267737,0.96028985649753629
8,0.79589048087101744,0,0,0.47350673036890112,0.13222705596155312,-0.96028985649753629,0.073818109561350861,-0.79666647741362695,0.022795587271453293,-0.52553240991632888,0.0020084783456416865,-0.18343464249564972,0.0020084780607087533,0.18343464249564986,0.022795586608971834,0.52553240991632899,0.073818108773465924,0.79666647741362684,0.13222705513845395,0.96028985649753629
9,0.77259008479449909,0,0,0.57683251072260244,0.16108084552923782,-0.96028985649753629,0.089926251618027697,-0.79666647741362695,0.02776990268290996,-0.52553240991632888,0.0024467564410691331,-0.18343464249564972,0.0024467561699306681,0.18343464249564986,0.027769902035378338,0.52553240991632899,0.089926250843120725,0.79666647741362684,0.16108084471856274,0.96028985649753629
10,0.75688759097213976,0,0,0.65073260441200964,0.18171749346469285,-0.96028985649753629,0.10144702797068118,-0.79666647741362695,0.031327605066193934,-0.52553240991632888,0.0027602192817486344,-0.18343464249564972,0.0027602190190798253,0.18343464249564986,0.031327604429034039,0.52553240991632899,0.10144702720511699,0.79666647741362684,0.18171749266304993,0.96028985649753629
11,0.75,0,0,0.68416045981788576,0.1910522432427087,-0.96028985649753629,0.10665831833333074,-0.79666647741362695,0.032936890723629299,-0.52553240991632888,0.00290201058456504,-0.18343464249564972,0.0029020103254300826,0.18343464249564986,0.032936890091088376,0.52553240991632899,0.10665831757200932,0.79666647741362684,0.19105224244518867,0.96028985649753629
12,0.74311240902786024,0,0,0.71817808762438995,0.20055168733619502,-0.96028985649753629,0.11196155223171116,-0.79666647741362695,0.034574569236576341,-0.52553240991632888,0.0030463035318485589,-0.18343464249564972,0.003046303276147003,0.18343464249564986,0.034574568608694831,0.52553240991632899,0.11196155147471823,0.79666647741362684,0.20055168654289376,0.96028985649753629
