value,n_nodes,max_abs_error,rms_abs_error,converged,n_scatter_iterations,wall_time_s
2,9,0.02485024042666342,0.009937732782503553,True,25,0.051
3,17,0.0004803276008097587,0.00018915215097203023,True,25,0.082
4,25,5.32820061032932e-06,2.9712984051321163e-06,True,25,0.078
5,33,1.3371294904640507e-09,9.581519137455388e-10,True,25,0.06
6,41,1.3367951468001849e-09,9.600714554498423e-10,True,25,0.151
7,49,1.337474714313558e-09,9.613548611181597e-10,True,25,0.1
8,57,1.33736841045895e-09,9.622860695098825e-10,True,25,0.171
