node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3,angular_flux_4,direction_cosine_4,angular_flux_5,direction_cosine_5
0,1,0,0,-4.5628032288604103e-09,1.3290136902872675e-14,-0.93246951420315205,9.0135037099913631e-15,-0.66120938646626448,-1.411592715843669e-16,-0.2386191860831969,-6.0114130463050439e-10,0.23861918608319704,-8.1635844415020971e-10,0.66120938646626459,-8.778955021252175e-10,0.93246951420315205
1,0.99311240902786024,0,0,0.00075379899896182339,0.00010822930786059998,-0.93246951420315205,6.9331378726192786e-05,-0.66120938646626448,3.5116180975959628e-05,-0.2386191860831969,3.5115591416304769e-05,0.23861918608319704,6.9330562236592083e-05,0.66120938646626459,0.00010822842898593202,0.93246951420315205
2,0.9774099152055008,0,0,0.0079815796733524718,0.0011459766068743151,-0.93246951420315205,0.00073410930306613028,-0.66120938646626448,0.00037182478183681619,-0.2386191860831969,0.00037182421717714507,0.23861918608319704,0.00073410848706025511,0.66120938646626459,0.0011459757265601745,0.93246951420315205
3,0.95410951912898256,0,0,0.032166435247700541,0.0046183797112639641,-0.93246951420315205,0.0029585207283021942,-0.66120938646626448,0.001498484504980509,-0.2386191860831969,0.0014984839737797065,0.23861918608319704,0.0029585199148271894,0.66120938646626459,0.0046183788306639433,0.93246951420315205
4,0.92494136762066859,0,0,0.083501882184834675,0.011988999048204664,-0.93246951420315205,0.0076801182556025943,-0.66120938646626448,0.0038899638085273924,-0.2386191860831969,0.0038899633141447768,0.23861918608319704,0.0076801174480371267,0.66120938646626459,0.0119889981701276,0.93246951420315205
5,0.89206911660686594,0,0,0.16681128620851943,0.023950361793541496,-0.93246951420315205,0.015342532803481688,-0.66120938646626448,0.0077709608405871411,-0.2386191860831969,0.0077709603821013128,0.23861918608319704,0.015342532005782028,0.66120938646626459,0.023950360921802753,0.93246951420315205
6,0.85793088339313406,0,0,0.27868811461002596,0.040013366217160319,-0.93246951420315205,0.025632447212263328,-0.66120938646626448,0.012982781113859591,-0.2386191860831969,0.012982780687586739,0.23861918608319704,0.025632446427932234,0.66120938646626459,0.040013365355549856,0.93246951420315205
7,0.82505863237933141,0,0,0.40775440372983368,0.058544391819010874,-0.93246951420315205,0.037503368890234083,-0.66120938646626448,0.018995378301677419,-0.2386191860831969,0.018995377902534569,0.23861918608319704,0.037503368121391628,0.66120938646626459,0.058544390970247065,0.93246951420315205
8,0.79589048087101744,0,0,0.53746006524356005,0.077167216953430234,-0.93246951420315205,0.049433097087534468,-0.66120938646626448,0.025037760879348576,-0.2386191860831969,0.025037760501723072,0.23861918608319704,0.049433096334327721,0.66120938646626459,0.07716721611838892,0.93246951420315205
9,0.77259008479449909,0,0,0.64997313916270938,0.093321571943365489,-0.93246951420315205,0.059781530414434687,-0.66120938646626448,0.030279220891460921,-0.2386191860831969,0.030279220529614178,0.23861918608319704,0.059781529674866912,0.66120938646626459,0.09332157112074109,0.93246951420315205
10,0.75688759097213976,0,0,0.72972998219321217,0.10477286653589787,-0.93246951420315205,0.067117196783175626,-0.66120938646626448,0.033994720691379807,-0.2386191860831969,0.033994720339567991,0.23861918608319704,0.067117196053329789,0.66120938646626459,0.10477286572232893,0.93246951420315205
11,0.75,0,0,0.76562499080918511,0.10992658504339331,-0.93246951420315205,0.070418654031144862,-0.66120938646626448,0.035666901939964295,-0.2386191860831969,0.035666901592418351,0.23861918608319704,0.070418653305691165,0.66120938646626459,0.10992658423396448,0.93246951420315205
12,0.74311240902786024,0,0,0.80204184543314705,0.11515522893810969,-0.93246951420315205,0.073768108266685242,-0.66120938646626448,0.037363393563465574,-0.2386191860831969,0.037363393220108607,0.23861918608319704,0.073768107545699069,0.66120938646626459,0.11515522813292105,0.93246951420315205
13,0.7274099152055008,0,0,0.8868923570537347,0.12733786014267801,-0.93246951420315205,0.081572266765799456,-0.66120938646626448,0.041316183658283094,-0.2386191860831969,0.041316183324209103,0.23861918608319704,0.08157226605527132,0.66120938646626459,0.12733785934752165,0.93246951420315205
14,0.70410951912898256,0,0,1.0169906947386922,0.14601706475656576,-0.93246951420315205,0.093538111500425805,-0.66120938646626448,0.047376859202607605,-0.2386191860831969,0.047376858881698694,0.23861918608319704,0.093538110806081515,0.66120938646626459,0.1460170639771988,0.93246951420315205
15,0.67494136762066859,0,0,1.1857212767141687,0.17024299355006292,-0.93246951420315205,0.10905717178738049,-0.66120938646626448,0.055237231058853198,-0.2386191860831969,0.055237230753563946,0.23861918608319704,0.10905717111434007,0.66120938646626459,0.17024299279190364,0.93246951420315205
16,0.64206911660686594,0,0,1.3817873064421835,0.19839367980241723,-0.93246951420315205,0.12709042041214322,-0.66120938646626448,0.064371034098284707,-0.2386191860831969,0.064371033809686576,0.23861918608319704,0.12709041976439089,0.66120938646626459,0.19839367906995975,0.93246951420315205
17,0.60793088339313406,0,0,1.5897177012863597,0.22824782289381257,-0.93246951420315205,0.14621489858833764,-0.66120938646626448,0.074057542646011873,-0.2386191860831969,0.074057542373968416,0.23861918608319704,0.14621489796815662,0.66120938646626459,0.22824782218992704,0.93246951420315205
18,0.57505863237933141,0,0,1.7918904778489302,0.25727530107737595,-0.93246951420315205,0.16480981760370639,-0.66120938646626448,0.083475830578955842,-0.2386191860831969,0.083475830322299313,0.23861918608319704,0.16480981701122546,0.66120938646626459,0.25727530040268459,0.93246951420315205
19,0.54589048087101744,0,0,1.9712361096667537,0.28302531303726314,-0.93246951420315205,0.18130520118569732,-0.66120938646626448,0.091830708168890732,-0.2386191860831969,0.091830707925556698,0.23861918608319704,0.18130520061866418,0.66120938646626459,0.28302531238976336,0.93246951420315205
20,0.52259008479449909,0,0,2.1135321207829261,0.30345583008244287,-0.93246951420315205,0.19439293162915633,-0.66120938646626448,0.098459616508973252,-0.2386191860831969,0.098459616276118669,0.23861918608319704,0.19439293108299735,0.66120938646626459,0.30345582945748084,0.93246951420315205
21,0.50688759097213976,0,0,2.2085821869200002,0.31710288864038283,-0.93246951420315205,0.20313519808086486,-0.66120938646626448,0.10288755634531754,-0.2386191860831969,0.10288755611946356,0.23861918608319704,0.2031351975490312,0.66120938646626459,0.31710288803099773,0.93246951420315205
22,0.5,0,0,2.249999987578732,0.32304955626394832,-0.93246951420315205,0.20694461625289376,-0.66120938646626448,0.10481701875316911,-0.2386191860831969,0.10481701853037309,0.23861918608319704,0.20694461572740666,0.66120938646626459,0.32304955566149113,0.93246951420315205
23,0.49311240902786024,0,0,2.2912280506043969,0.32896898181705886,-0.93246951420315205,0.21073658323297675,-0.66120938646626448,0.10673764216852434,-0.2386191860831969,0.10673764194877967,0.23861918608319704,0.21073658271387372,0.66120938646626459,0.32896898122158658,0.93246951420315205
24,0.47740991520550086,0,0,2.3844286900065819,0.34235050415743901,-0.93246951420315205,0.2193087479477818,-0.66120938646626448,0.11107942582821669,-0.2386191860831969,0.11107942561540723,0.23861918608319704,0.21930874744337006,0.66120938646626459,0.34235050357809854,0.93246951420315205
25,0.45410951912898256,0,0,2.5203756003330913,0.36186943266719718,-0.93246951420315205,0.2318125173984989,-0.66120938646626448,0.11741255913765,-0.2386191860831969,0.11741255893508987,0.23861918608319704,0.23181251691622379,0.66120938646626459,0.36186943211230732,0.93246951420315205
26,0.42494136762066859,0,0,2.6858282217061986,0.38562471978901813,-0.93246951420315205,0.24703008598896531,-0.66120938646626448,0.12512022608692255,-0.2386191860831969,0.12512022589715033,0.23861918608319704,0.24703008553493619,0.66120938646626459,0.38562471926555425,0.93246951420315205
27,0.39206911660686594,0,0,2.8647715794364981,0.41131697419891478,-0.93246951420315205,0.26348847025196592,-0.66120938646626448,0.13345636360317126,-0.2386191860831969,0.1334563634277918,0.23861918608319704,0.26348846983043089,0.66120938646626459,0.41131697371188247,0.93246951420315205
28,0.35793088339313406,0,0,3.0407371661553291,0.4365816874484979,-0.93246951420315205,0.27967297287764475,-0.66120938646626448,0.14165378063845238,-0.2386191860831969,0.1416537804780342,0.23861918608319704,0.27967297249053436,0.66120938646626459,0.43658168700034616,0.93246951420315205
29,0.32505863237933141,0,0,3.1993538452251689,0.4593554865057074,-0.93246951420315205,0.2942618030375152,-0.66120938646626448,0.14904299287760051,-0.2386191860831969,0.1490429927316281,0.23861918608319704,0.29426180268414681,0.66120938646626459,0.45935548609591154,0.93246951420315205
30,0.29589048087101744,0,0,3.3302514066398849,0.47814944170589257,-0.93246951420315205,0.30630115667173491,-0.66120938646626448,0.15514090054094662,-0.2386191860831969,0.1551409004078379,0.23861918608319704,0.30630115634874794,0.66120938646626459,0.47814944133081438,0.93246951420315205
31,0.27259008479449914,0,0,3.4276422938139754,0.49213258967669971,-0.93246951420315205,0.3152587210345445,-0.66120938646626448,0.15967788832578364,-0.2386191860831969,0.15967788820298667,0.23861918608319704,0.31525872073609862,0.66120938646626459,0.49213258932977499,0.93246951420315205
32,0.25688759097213976,0,0,3.4894894825275236,0.50101245940972405,-0.93246951420315205,0.32094714003945524,-0.66120938646626448,0.16255906076239912,-0.2386191860831969,0.16255906064657044,0.23861918608319704,0.32094713975767331,0.66120938646626459,0.50101245908196623,0.93246951420315205
33,0.25,0,0,3.5156249855854513,0.50476493171083892,-0.93246951420315205,0.32335096300021682,-0.66120938646626448,0.16377659211007803,-0.2386191860831969,0.16377659199731073,0.23861918608319704,0.32335096272577429,0.66120938646626459,0.50476493139153489,0.93246951420315205
34,0.24311240902786027,0,0,3.5411438008257892,0.50842886146689381,-0.93246951420315205,0.32569806586131883,-0.66120938646626448,0.16496539484484946,-0.2386191860831969,0.16496539473514668,0.23861918608319704,0.32569806559423342,0.66120938646626459,0.50842886115607111,0.93246951420315205
35,0.22740991520550086,0,0,3.5969757056105349,0.51644507128460682,-0.93246951420315205,0.33083322680892768,-0.66120938646626448,0.16756634322224165,-0.2386191860831969,0.16756634311953675,0.23861918608319704,0.33083322655867836,0.66120938646626459,0.5164450709932179,0.93246951420315205
36,0.20410951912898256,0,0,3.6736568732654047,0.52745476782438894,-0.93246951420315205,0.33788600673860147,-0.66120938646626448,0.17113856163995861,-0.2386191860831969,0.17113856154766627,0.23861918608319704,0.33788600651348599,0.66120938646626459,0.52745476756207155,0.93246951420315205
37,0.17494136762066861,0,0,3.758910665699891,0.53969530108826325,-0.93246951420315205,0.34572725713232899,-0.66120938646626448,0.17511013871389769,-0.2386191860831969,0.17511013863468625,0.23861918608319704,0.34572725693890566,0.66120938646626459,0.53969530086269302,0.93246951420315205
38,0.14206911660686594,0,0,3.8401604302878427,0.55136094571735628,-0.93246951420315205,0.35320023551985719,-0.66120938646626448,0.17889518678027141,-0.2386191860831969,0.17889518671585838,0.23861918608319704,0.35320023536241252,0.66120938646626459,0.55136094553360504,0.93246951420315205
39,0.10793088339313406,0,0,3.9073501841622247,0.56100788801940482,-0.93246951420315205,0.35938003900350962,-0.66120938646626448,0.18202524443822873,-0.2386191860831969,0.18202524438923856,0.23861918608319704,0.35938003888366848,0.66120938646626459,0.56100788787945366,0.93246951420315205
40,0.075058632379331386,0,0,3.9550565573440748,0.5678574536541009,-0.93246951420315205,0.36376785104114473,-0.66120938646626448,0.18424766214285637,-0.2386191860831969,0.18424766210875912,0.23861918608319704,0.36376785095768882,0.66120938646626459,0.56785745355659845,0.93246951420315205
41,0.045890480871017436,0,0,3.9831702349230413,0.57189394745273037,-0.93246951420315205,0.36635361735315869,-0.66120938646626448,0.18555734742220878,-0.2386191860831969,0.18555734740135113,0.23861918608319704,0.36635361730208993,0.66120938646626459,0.57189394739305133,0.93246951420315205
42,0.022590084794499143,0,0,3.9959185311373973,0.57372431696888959,-0.93246951420315205,0.36752614679674445,-0.66120938646626448,0.186151231156469,-0.2386191860831969,0.18615123114619828,0.23861918608319704,0.3675261467715899,0.66120938646626459,0.57372431693949211,0.93246951420315205
43,0.0068875909721397288,0,0,3.9996204826340627,0.57425583419924797,-0.93246951420315205,0.36786663520336443,-0.66120938646626448,0.18632368782958234,-0.2386191860831969,0.18632368782644909,0.23861918608319704,0.36786663519568519,0.66120938646626459,0.5742558341902757,0.93246951420315205
44,0,0,0,3.9999999849069381,0.57431032221306055,-0.93246951420315205,0.36790154006731035,-0.66120938646626448,0.18634136707120308,-0.2386191860831969,0.18634136707120091,0.23861918608319704,0.36790154006729775,0.66120938646626459,0.57431032221304901,0.93246951420315205
45,-0.0068875909721397288,0,0,3.9996204826340609,0.57425583419028714,-0.93246951420315205,0.36786663519569762,-0.66120938646626448,0.18632368782645106,-0.2386191860831969,0.18632368782958011,0.23861918608319704,0.36786663520335189,0.66120938646626459,0.57425583419923643,0.93246951420315205
46,-0.022590084794499157,0,0,3.9959185311373924,0.57372431693950254,-0.93246951420315205,0.36752614677160161,-0.66120938646626448,0.18615123114619975,-0.2386191860831969,0.18615123115646667,0.23861918608319704,0.36752614679673246,0.66120938646626459,0.57372431696887738,0.93246951420315205
47,-0.045890480871017422,0,0,3.9831702349230333,0.57189394739306043,-0.93246951420315205,0.36635361730210053,-0.66120938646626448,0.18555734740135219,-0.2386191860831969,0.1855573474222067,0.23861918608319704,0.36635361735314742,0.66120938646626459,0.57189394745271804,0.93246951420315205
48,-0.075058632379331386,0,0,3.9550565573440633,0.567857453556606,-0.93246951420315205,0.3637678509576987,-0.66120938646626448,0.18424766210875987,-0.2386191860831969,0.18424766214285454,0.23861918608319704,0.36376785104113368,0.66120938646626459,0.56785745365408857,0.93246951420315205
49,-0.10793088339313406,0,0,3.90735018416221,0.56100788787946021,-0.93246951420315205,0.35938003888367753,-0.66120938646626448,0.18202524438923892,-0.2386191860831969,0.18202524443822696,0.23861918608319704,0.35938003900349852,0.66120938646626459,0.56100788801939294,0.93246951420315205
50,-0.14206911660686594,0,0,3.8401604302878272,0.55136094553361115,-0.93246951420315205,0.35320023536242107,-0.66120938646626448,0.17889518671585858,-0.2386191860831969,0.17889518678026978,0.23861918608319704,0.35320023551984614,0.66120938646626459,0.5513609457173454,0.93246951420315205
51,-0.17494136762066861,0,0,3.758910665699875,0.53969530086269835,-0.93246951420315205,0.34572725693891393,-0.66120938646626448,0.17511013863468627,-0.2386191860831969,0.17511013871389605,0.23861918608319704,0.34572725713231778,0.66120938646626459,0.53969530108825281,0.93246951420315205
52,-0.20410951912898256,0,0,3.6736568732653874,0.52745476756207621,-0.93246951420315205,0.33788600651349432,-0.66120938646626448,0.17113856154766627,-0.2386191860831969,0.17113856163995703,0.23861918608319704,0.33788600673859026,0.66120938646626459,0.5274547678243785,0.93246951420315205
53,-0.22740991520550086,0,0,3.5969757056105194,0.51644507099322223,-0.93246951420315205,0.33083322655868685,-0.66120938646626448,0.16756634311953689,-0.2386191860831969,0.16756634322224026,0.23861918608319704,0.33083322680891658,0.66120938646626459,0.51644507128459638,0.93246951420315205
54,-0.24311240902786027,0,0,3.5411438008257718,0.50842886115607511,-0.93246951420315205,0.32569806559424186,-0.66120938646626448,0.16496539473514676,-0.2386191860831969,0.1649653948448481,0.23861918608319704,0.32569806586130762,0.66120938646626459,0.50842886146688338,0.93246951420315205
55,-0.25,0,0,3.5156249855854349,0.504764931391539,-0.93246951420315205,0.32335096272578273,-0.66120938646626448,0.16377659199731076,-0.2386191860831969,0.16377659211007664,0.23861918608319704,0.32335096300020566,0.66120938646626459,0.5047649317108287,0.93246951420315205
56,-0.25688759097213976,0,0,3.4894894825275076,0.50101245908197056,-0.93246951420315205,0.32094713975768174,-0.66120938646626448,0.16255906064657041,-0.2386191860831969,0.16255906076239779,0.23861918608319704,0.3209471400394443,0.66120938646626459,0.50101245940971417,0.93246951420315205
57,-0.27259008479449914,0,0,3.4276422938139599,0.49213258932977938,-0.93246951420315205,0.31525872073610661,-0.66120938646626448,0.15967788820298653,-0.2386191860831969,0.15967788832578239,0.23861918608319704,0.31525872103453373,0.66120938646626459,0.49213258967669049,0.93246951420315205
58,-0.29589048087101744,0,0,3.3302514066398716,0.47814944133081949,-0.93246951420315205,0.30630115634875538,-0.66120938646626448,0.15514090040783768,-0.2386191860831969,0.15514090054094559,0.23861918608319704,0.30630115667172458,0.66120938646626459,0.47814944170588469,0.93246951420315205
59,-0.32505863237933141,0,0,3.1993538452251578,0.45935548609591753,-0.93246951420315205,0.29426180268415353,-0.66120938646626448,0.14904299273162783,-0.2386191860831969,0.14904299287759964,0.23861918608319704,0.29426180303750527,0.66120938646626459,0.45935548650570085,0.93246951420315205
