node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3
0,1,0,0,-4.3919607762614331e-09,-1.3792640476826277e-14,-0.86113631159405268,-5.5372008193105169e-17,-0.33998104358485637,-6.325505896197522e-10,0.33998104358485631,-8.2356947226407036e-10,0.86113631159405257
1,0.99311240902786024,0,0,0.00061885453549243171,0.00012248260246183648,-0.86113631159405268,1.0183408032258767e-05,-0.33998104358485637,1.0182781258066602e-05,0.33998104358485631,0.00012248177823002613,0.86113631159405257
2,0.9774099152055008,0,0,0.0065934070597099617,0.0013049470007263045,-0.86113631159405268,0.00010849558414779948,-0.33998104358485637,0.000108494970256861,0.33998104358485631,0.0013049461755644076,0.86113631159405257
3,0.95410951912898256,0,0,0.026812240187675959,0.0053065939402412218,-0.86113631159405268,0.00044119963606022698,-0.33998104358485637,0.00044119904060984603,0.33998104358485631,0.0053065931152084843,0.86113631159405257
4,0.92494136762066859,0,0,0.070369917050243716,0.013927390301475684,-0.86113631159405268,0.0011579480421626514,-0.33998104358485637,0.0011579474687867398,0.33998104358485631,0.013927389479011848,0.86113631159405257
5,0.89206911660686594,0,0,0.14226701579187223,0.028157034531825529,-0.86113631159405268,0.0023410261110926442,-0.33998104358485637,0.0023410255614429972,0.33998104358485631,0.02815703371525731,0.86113631159405257
6,0.85793088339313406,0,0,0.24053947306224088,0.047606805479182467,-0.86113631159405268,0.0039581148744997239,-0.33998104358485637,0.0039581143484156622,0.33998104358485631,0.047606804671863158,0.86113631159405257
7,0.82505863237933141,0,0,0.35585405559880323,0.070429499420251063,-0.86113631159405268,0.0058556345076077156,-0.33998104358485637,0.0058556340033703155,0.33998104358485631,0.070429498624630174,0.86113631159405257
8,0.79589048087101744,0,0,0.473506730756863,0.093714941173471747,-0.86113631159405268,0.007791627832013065,-0.33998104358485637,0.0077916273465969124,0.33998104358485631,0.093714940390367971,0.86113631159405257
9,0.77259008479449909,0,0,0.57683251111457756,0.11416484965237851,-0.86113631159405268,0.009491869847660029,-0.33998104358485637,0.0094918693769666038,0.33998104358485631,0.11416484888063051,0.86113631159405257
10,0.75688759097213976,0,0,0.6507326048054638,0.12879092019366251,-0.86113631159405268,0.010707907549194252,-0.33998104358485637,0.010707907088290751,0.33998104358485631,0.12879091943021451,0.86113631159405257
11,0.75,0,0,0.68416046021173382,0.13540685458218102,-0.86113631159405268,0.011257968184546278,-0.33998104358485637,0.011257967727907259,0.33998104358485631,0.13540685382253273,0.86113631159405257
12,0.74311240902786024,0,0,0.71817808801849514,0.14213951484033668,-0.86113631159405268,0.011817733618062123,-0.33998104358485637,0.011817733165670892,0.33998104358485631,0.142139514084583,0.86113631159405257
13,0.7274099152055008,0,0,0.79783242468629867,0.15790444677124169,-0.86113631159405268,0.013128458298217634,-0.33998104358485637,0.013128457855453241,0.33998104358485631,0.15790444602471476,0.86113631159405257
14,0.70410951912898256,0,0,0.92099002251903062,0.18227940521742791,-0.86113631159405268,0.015155036008210106,-0.33998104358485637,0.015155035579602448,0.33998104358485631,0.18227940448545515,0.86113631159405257
15,0.67494136762066859,0,0,1.0824663462476583,0.21423828351290775,-0.86113631159405268,0.017812154403656216,-0.33998104358485637,0.01781215399259738,0.33998104358485631,0.21423828280053919,0.86113631159405257
16,0.64206911660686594,0,0,1.2724284760797957,0.25183498157313716,-0.86113631159405268,0.02093801123838842,-0.33998104358485637,0.020938010846939487,0.33998104358485631,0.25183498088460032,0.86113631159405257
17,0.60793088339313406,0,0,1.4764498588539681,0.29221424206935187,-0.86113631159405268,0.024295215302933697,-0.33998104358485637,0.024295214931730279,0.33998104358485631,0.29221424140738572,0.86113631159405257
18,0.57505863237933141,0,0,1.6772116949402314,0.33194838349035694,-0.86113631159405268,0.027598783014597204,-0.33998104358485637,0.027598782662830553,0.33998104358485631,0.33194838285560874,0.86113631159405257
19,0.54589048087101744,0,0,1.8571843107630475,0.36756798882835989,-0.86113631159405268,0.030560260826006123,-0.33998104358485637,0.030560260491475821,0.33998104358485631,0.36756798821901371,0.86113631159405257
20,0.52259008479449909,0,0,2.0011869098277462,0.39606852332638132,-0.86113631159405268,0.03292984633283183,-0.33998104358485637,0.032929846012082042,0.33998104358485631,0.39606852273812043,0.86113631159405257
21,0.50688759097213976,0,0,2.0979564655100478,0.41522084472791176,-0.86113631159405268,0.034522204652690645,-0.33998104358485637,0.034522204341239773,0.33998104358485631,0.4152208441542381,0.86113631159405257
22,0.5,0,0,2.1402661933070704,0.42359465092598486,-0.86113631159405268,0.035218417904904542,-0.33998104358485637,0.035218417597536446,0.33998104358485631,0.42359465035880217,0.86113631159405257
23,0.49311240902786024,0,0,2.1824671801426048,0.43194693546011509,-0.86113631159405268,0.035912841807473485,-0.33998104358485637,0.035912841504190891,0.33998104358485631,0.43194693489947844,0.86113631159405257
24,0.47740991520550086,0,0,2.278176875883116,0.45088949276556284,-0.86113631159405268,0.037487759965092814,-0.33998104358485637,0.037487759671135865,0.33998104358485631,0.45088949222005126,0.86113631159405257
25,0.45410951912898256,0,0,2.4185419222832869,0.47867009445306075,-0.86113631159405268,0.03979748897002524,-0.33998104358485637,0.0397974886899395,0.33998104358485631,0.4786700939304907,0.86113631159405257
26,0.42494136762066859,0,0,2.5905601066649426,0.51271538411451445,-0.86113631159405268,0.042628075359561937,-0.33998104358485637,0.042628075096904749,0.33998104358485631,0.51271538362145597,0.86113631159405257
27,0.39206911660686594,0,0,2.778038159837402,0.54982044162887,-0.86113631159405268,0.04571305633190563,-0.33998104358485637,0.045713056088986112,0.33998104358485631,0.54982044117005313,0.86113631159405257
28,0.35793088339313406,0,0,2.9638143529832326,0.58658867243952884,-0.86113631159405268,0.048770032928925469,-0.33998104358485637,0.048770032706619761,0.33998104358485631,0.58658867201728271,0.86113631159405257
29,0.32505863237933141,0,0,3.1324524974769128,0.61996499539440753,-0.86113631159405268,0.051545000228764001,-0.33998104358485637,0.0515450000264236,0.33998104358485631,0.61996499500825941,0.86113631159405257
30,0.29589048087101744,0,0,3.2724454957050839,0.6476719624863938,-0.86113631159405268,0.053848607122763688,-0.33998104358485637,0.053848606938234372,0.33998104358485631,0.64767196213293299,0.86113631159405257
31,0.27259008479449914,0,0,3.3770804910294054,0.66838098657056211,-0.86113631159405268,0.055570392494841532,-0.33998104358485637,0.055570392324603445,0.33998104358485631,0.66838098624361619,0.86113631159405257
32,0.25688759097213976,0,0,3.4437369301963852,0.68157341611784228,-0.86113631159405268,0.056667234727562903,-0.33998104358485637,0.056667234566986573,0.33998104358485631,0.68157341580895148,0.86113631159405257
33,0.25,0,0,3.4719531910850643,0.68715788835338942,-0.86113631159405268,0.057131537756273658,-0.33998104358485637,0.05713153759994289,0.33998104358485631,0.6871578880524627,0.86113631159405257
34,0.24311240902786027,0,0,3.4995313305951665,0.69261606564365252,-0.86113631159405268,0.057585340396891338,-0.33998104358485637,0.057585340244810677,0.33998104358485631,0.6926160653507154,0.86113631159405257
35,0.22740991520550086,0,0,3.5599637308620196,0.70457665328948782,-0.86113631159405268,0.058579765086255765,-0.33998104358485637,0.058579764943881042,0.33998104358485631,0.70457665301485894,0.86113631159405257
36,0.20410951912898256,0,0,3.643174621030167,0.72104548690314707,-0.86113631159405268,0.059949013423475209,-0.33998104358485637,0.059949013295543252,0.33998104358485631,0.72104548665590995,0.86113631159405257
37,0.17494136762066861,0,0,3.7359730344622122,0.73941185249722918,-0.86113631159405268,0.061476025969020166,-0.33998104358485637,0.061476025859231169,0.33998104358485631,0.73941185228462114,0.86113631159405257
38,0.14206911660686594,0,0,3.8246899983938816,0.75697043063874725,-0.86113631159405268,0.06293587761710541,-0.33998104358485637,0.062935877527838011,0.33998104358485631,0.75697043046555335,0.86113631159405257
39,0.10793088339313406,0,0,3.8982573776386498,0.7715306513620025,-0.86113631159405268,0.064146440455250003,-0.33998104358485637,0.064146440387364709,0.33998104358485631,0.7715306512300939,0.86113631159405257
40,0.075058632379331386,0,0,3.9506026695018441,0.78189066432941801,-0.86113631159405268,0.065007790492932024,-0.33998104358485637,0.065007790445688843,0.33998104358485631,0.78189066423752329,0.86113631159405257
41,0.045890480871017436,0,0,3.9814929283173779,0.7880043656803527,-0.86113631159405268,0.065516094573148456,-0.33998104358485637,0.065516094544252459,0.33998104358485631,0.78800436562411369,0.86113631159405257
42,0.022590084794499143,0,0,3.9955107196182462,0.79077872215090894,-0.86113631159405268,0.06574675953644768,-0.33998104358485637,0.065746759522221143,0.33998104358485631,0.79077872212321654,0.86113631159405257
43,0.0068875909721397288,0,0,3.9995825359385577,0.79158460302299927,-0.86113631159405268,0.065813761912391522,-0.33998104358485637,0.065813761908054422,0.33998104358485631,0.79158460301456168,0.86113631159405257
44,0,0,0,3.9999999855583113,0.79166722331428385,-0.86113631159405268,0.065820631109671582,-0.33998104358485637,0.065820631109672678,0.33998104358485631,0.79166722331429373,0.86113631159405257
45,-0.0068875909721397288,0,0,3.9995825359385595,0.79158460301455225,-0.86113631159405268,0.065813761908053353,-0.33998104358485637,0.065813761912392632,0.33998104358485631,0.79158460302300937,0.86113631159405257
46,-0.022590084794499157,0,0,3.9955107196182507,0.7907787221232081,-0.86113631159405268,0.06574675952222013,-0.33998104358485637,0.065746759536448859,0.33998104358485631,0.79077872215091904,0.86113631159405257
47,-0.045890480871017422,0,0,3.9814929283173881,0.78800436562410681,-0.86113631159405268,0.065516094544251655,-0.33998104358485637,0.065516094573149775,0.33998104358485631,0.78800436568036347,0.86113631159405257
