node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1
0,1,0,0,-0.11986887970069804,-2.6043766941787963e-15,-0.57735026918962573,-0.019077724727251236,0.57735026918962573
1,0.99311240902786024,0,0,-0.12226472639624475,-7.5540661262076886e-05,-0.57735026918962573,-0.019383494910478406,0.57735026918962573
2,0.9774099152055008,0,0,-0.12430890162007684,3.3174353263810434e-05,-0.57735026918962573,-0.019817550516423151,0.57735026918962573
3,0.95410951912898256,0,0,-0.11886229312964218,0.00088755828718744981,-0.57735026918962573,-0.019805079786007828,0.57735026918962573
4,0.92494136762066859,0,0,-0.098466490278191723,0.0030572346912718595,-0.57735026918962573,-0.018728663347956125,0.57735026918962573
5,0.89206911660686594,0,0,-0.058581147350348174,0.006856224964681701,-0.57735026918962573,-0.016179704137484298,0.57735026918962573
6,0.85793088339313406,0,0,0.00025897739946334486,0.012177760256703753,-0.57735026918962573,-0.012136542723430078,0.57735026918962573
7,0.82505863237933141,0,0,0.072126736940814146,0.018484732062628521,-0.57735026918962573,-0.0070054053494091424,0.57735026918962573
8,0.79589048087101744,0,0,0.14713884848015368,0.024940247643412412,-0.57735026918962573,-0.0015223725869465468,0.57735026918962573
9,0.77259008479449909,0,0,0.21389899711532492,0.0306104804880558,-0.57735026918962573,0.003432602225247214,0.57735026918962573
10,0.75688759097213976,0,0,0.26201103229978978,0.034662218955249409,-0.57735026918962573,0.007038131979872372,0.57735026918962573
11,0.75,0,0,0.28385527210826844,0.036493448232240232,-0.57735026918962573,0.0086835214464856883,0.57735026918962573
12,0.74311240902786024,0,0,0.30613083486402737,0.03835584425709767,-0.57735026918962573,0.010366391344360999,0.57735026918962573
13,0.7274099152055008,0,0,0.35845141010589221,0.04271171399045956,-0.57735026918962573,0.014337599786153335,0.57735026918962573
14,0.70410951912898256,0,0,0.43971954992885276,0.049430766807083193,-0.57735026918962573,0.020552773138237179,0.57735026918962573
15,0.67494136762066859,0,0,0.54680958468303409,0.058207457851482618,-0.57735026918962573,0.02881999048084858,0.57735026918962573
16,0.64206911660686594,0,0,0.67337712713955944,0.068479458433012272,-0.57735026918962573,0.038691839916268254,0.57735026918962573
17,0.60793088339313406,0,0,0.80983645527955039,0.079442362550109905,-0.57735026918962573,0.049447112403649143,0.57735026918962573
18,0.57505863237933141,0,0,0.94451448540442851,0.090154718004182441,-0.57735026918962573,0.060169431169830145,0.57735026918962573
19,0.54589048087101744,0,0,1.0655069584326391,0.099689694737308099,-0.57735026918962573,0.069891004596057044,0.57735026918962573
20,0.52259008479449909,0,0,1.162460806747311,0.10726948853257115,-0.57735026918962573,0.077741895011855841,0.57735026918962573
21,0.50688759097213976,0,0,1.227674570337272,0.11233693203073233,-0.57735026918962573,0.083053544346663205,0.57735026918962573
22,0.5,0,0,1.2562012729404068,0.11454563662212131,-0.57735026918962573,0.085385005484675564,0.57735026918962573
23,0.49311240902786024,0,0,1.2846625163853331,0.11674436745539281,-0.57735026918962573,0.087716022232205926,0.57735026918962573
24,0.47740991520550086,0,0,1.3492384625730771,0.1217145859310685,-0.57735026918962573,0.093023384797145892,0.57735026918962573
25,0.45410951912898256,0,0,1.4440058988590987,0.12896049413457589,-0.57735026918962573,0.10086018252270507,0.57735026918962573
26,0.42494136762066859,0,0,1.5602318561710153,0.1377642493986293,-0.57735026918962573,0.1105543628804308,0.57735026918962573
27,0.39206911660686594,0,0,1.6869968896287875,0.14725197893036518,-0.57735026918962573,0.12124191503470885,0.57735026918962573
28,0.35793088339313406,0,0,1.8126917407154755,0.15652522266075725,-0.57735026918962573,0.13197362817596286,0.57735026918962573
29,0.32505863237933141,0,0,1.9268494751472296,0.16481005280118088,-0.57735026918962573,0.14185756576252476,0.57735026918962573
30,0.29589048087101744,0,0,2.0216522457790012,0.1715694230900614,-0.57735026918962573,0.15018652503849786,0.57735026918962573
31,0.27259008479449914,0,0,2.0925294296564756,0.17653501139701067,-0.57735026918962573,0.15650139089808185,0.57735026918962573
32,0.25688759097213976,0,0,2.1376884349342369,0.17965148671323639,-0.57735026918962573,0.16057219449692475,0.57735026918962573
33,0.25,0,0,2.1568063057884355,0.18095807239867912,-0.57735026918962573,0.16230831245932026,0.57735026918962573
34,0.24311240902786027,0,0,2.1754927385159553,0.18222709397183307,-0.57735026918962573,0.16401332902350524,0.57735026918962573
35,0.22740991520550086,0,0,2.2164436685354527,0.18497718358748494,-0.57735026918962573,0.16778078234466665,0.57735026918962573
36,0.20410951912898256,0,0,2.2728365495650964,0.18868165815136675,-0.57735026918962573,0.17305151355184578,0.57735026918962573
37,0.17494136762066861,0,0,2.335735244228438,0.19266319055297179,-0.57735026918962573,0.1790806193199394,0.57735026918962573
38,0.14206911660686594,0,0,2.3958749942878823,0.19624467860673223,-0.57735026918962573,0.18507066976445066,0.57735026918962573
39,0.10793088339313406,0,0,2.4457501740839698,0.19891613986889967,-0.57735026918962573,0.19033708990442755,0.57735026918962573
40,0.075058632379331386,0,0,2.4812403980976327,0.20045611849394651,-0.57735026918962573,0.19444555586259385,0.57735026918962573
41,0.045890480871017436,0,0,2.5021850267341765,0.20096296555957216,-0.57735026918962573,0.1972721499756982,0.57735026918962573
42,0.022590084794499143,0,0,2.5116897864613588,0.20078412782459823,-0.57735026918962573,0.19896371720415398,0.57735026918962573
43,0.0068875909721397288,0,0,2.5144507067257598,0.2003713039611123,-0.57735026918962573,0.19981595517520187,0.57735026918962573
44,0,0,0,2.5147337616890106,0.20011615436644301,-0.57735026918962573,0.20011615436643926,0.57735026918962573
45,-0.0068875909721397288,0,0,2.5144507067257598,0.19981595517520562,-0.57735026918962573,0.20037130396110855,0.57735026918962573
46,-0.022590084794499157,0,0,2.5116897864613579,0.19896371720415756,-0.57735026918962573,0.20078412782459454,0.57735026918962573
47,-0.045890480871017422,0,0,2.5021850267341774,0.19727214997570178,-0.57735026918962573,0.20096296555956877,0.57735026918962573
48,-0.075058632379331386,0,0,2.481240398097635,0.19444555586259735,-0.57735026918962573,0.20045611849394337,0.57735026918962573
49,-0.10793088339313406,0,0,2.4457501740839698,0.19033708990443071,-0.57735026918962573,0.1989161398688965,0.57735026918962573
50,-0.14206911660686594,0,0,2.3958749942878819,0.1850706697644536,-0.57735026918962573,0.1962446786067292,0.57735026918962573
