value,n_nodes,max_abs_error,rms_abs_error,converged,n_scatter_iterations,wall_time_s
2,89,0.05258522563050752,0.035337076581389,True,24,0.082
4,89,1.2490526599129304e-09,9.18432539933128e-10,True,25,0.137
6,89,1.2872117642614977e-09,9.366255321838913e-10,True,25,0.169
8,89,1.2977467954422561e-09,9.39967789778192e-10,True,25,0.221
